"timeMillisSpent","score"
40040,"0hard/-1966600soft"
40073,"0hard/-1966560soft"
40078,"0hard/-1966520soft"
40099,"0hard/-1965900soft"
40110,"0hard/-1965760soft"
40129,"0hard/-1965300soft"
40162,"0hard/-1964450soft"
40173,"0hard/-1964340soft"
40182,"0hard/-1963990soft"
40199,"0hard/-1963640soft"
40210,"0hard/-1963080soft"
40305,"0hard/-1962970soft"
40322,"0hard/-1962940soft"
40406,"0hard/-1962420soft"
40710,"0hard/-1962190soft"
40752,"0hard/-1961840soft"
40767,"0hard/-1961460soft"
40792,"0hard/-1961330soft"
40832,"0hard/-1960880soft"
40844,"0hard/-1960810soft"
40884,"0hard/-1960210soft"
40913,"0hard/-1959860soft"
40920,"0hard/-1959820soft"
40961,"0hard/-1959780soft"
40964,"0hard/-1959700soft"
40976,"0hard/-1959620soft"
40979,"0hard/-1959270soft"
40998,"0hard/-1958920soft"
41009,"0hard/-1958530soft"
41046,"0hard/-1958140soft"
41061,"0hard/-1957790soft"
41100,"0hard/-1957650soft"
41124,"0hard/-1957030soft"
41133,"0hard/-1956510soft"
41163,"0hard/-1956160soft"
41243,"0hard/-1955670soft"
41255,"0hard/-1955180soft"
41299,"0hard/-1954750soft"
41302,"0hard/-1954190soft"
41451,"0hard/-1953970soft"
41484,"0hard/-1953620soft"
41513,"0hard/-1953270soft"
41526,"0hard/-1953160soft"
41782,"0hard/-1953010soft"
41792,"0hard/-1952830soft"
41799,"0hard/-1952070soft"
41826,"0hard/-1951720soft"
41829,"0hard/-1951100soft"
41873,"0hard/-1950720soft"
41878,"0hard/-1950620soft"
41900,"0hard/-1950580soft"
41910,"0hard/-1950540soft"
41920,"0hard/-1950020soft"
41938,"0hard/-1949670soft"
41944,"0hard/-1949010soft"
41960,"0hard/-1948660soft"
41985,"0hard/-1948570soft"
41990,"0hard/-1947930soft"
42008,"0hard/-1947600soft"
42025,"0hard/-1947250soft"
42090,"0hard/-1947240soft"
42122,"0hard/-1946990soft"
42149,"0hard/-1946950soft"
42173,"0hard/-1946500soft"
42180,"0hard/-1946470soft"
42189,"0hard/-1946120soft"
42218,"0hard/-1945960soft"
42253,"0hard/-1945610soft"
42427,"0hard/-1945500soft"
42556,"0hard/-1945410soft"
42561,"0hard/-1945370soft"
42586,"0hard/-1945160soft"
42654,"0hard/-1944090soft"
42663,"0hard/-1943490soft"
42671,"0hard/-1943010soft"
42680,"0hard/-1942920soft"
42688,"0hard/-1942360soft"
42717,"0hard/-1941700soft"
42728,"0hard/-1941180soft"
42732,"0hard/-1941140soft"
42780,"0hard/-1940790soft"
42812,"0hard/-1940500soft"
42819,"0hard/-1940360soft"
42838,"0hard/-1940010soft"
42986,"0hard/-1939970soft"
43078,"0hard/-1939660soft"
43090,"0hard/-1939520soft"
43112,"0hard/-1939170soft"
43157,"0hard/-1938930soft"
43209,"0hard/-1938540soft"
43246,"0hard/-1938530soft"
43262,"0hard/-1938180soft"
43265,"0hard/-1938060soft"
43298,"0hard/-1937570soft"
43363,"0hard/-1937220soft"
43378,"0hard/-1936500soft"
43394,"0hard/-1935910soft"
43616,"0hard/-1935750soft"
43644,"0hard/-1935150soft"
43650,"0hard/-1935130soft"
43679,"0hard/-1934650soft"
43711,"0hard/-1934480soft"
43823,"0hard/-1934470soft"
43855,"0hard/-1934120soft"
43859,"0hard/-1933990soft"
43883,"0hard/-1933890soft"
43909,"0hard/-1933830soft"
43986,"0hard/-1933800soft"
44037,"0hard/-1933450soft"
44054,"0hard/-1932830soft"
44163,"0hard/-1932790soft"
44187,"0hard/-1932440soft"
44380,"0hard/-1932080soft"
44423,"0hard/-1931730soft"
44467,"0hard/-1931700soft"
44489,"0hard/-1931180soft"
44493,"0hard/-1930830soft"
44501,"0hard/-1930440soft"
44562,"0hard/-1929550soft"
44572,"0hard/-1929200soft"
44586,"0hard/-1928780soft"
44613,"0hard/-1928390soft"
44903,"0hard/-1928110soft"
44913,"0hard/-1927840soft"
44944,"0hard/-1927760soft"
44947,"0hard/-1927410soft"
44950,"0hard/-1927340soft"
45341,"0hard/-1927130soft"
45367,"0hard/-1927070soft"
45375,"0hard/-1927060soft"
45416,"0hard/-1927020soft"
45507,"0hard/-1926960soft"
45540,"0hard/-1926470soft"
45548,"0hard/-1926120soft"
45557,"0hard/-1925690soft"
45622,"0hard/-1925650soft"
45670,"0hard/-1925610soft"
45678,"0hard/-1925500soft"
45686,"0hard/-1925270soft"
45708,"0hard/-1924610soft"
45741,"0hard/-1924260soft"
45792,"0hard/-1923910soft"
46052,"0hard/-1923690soft"
46059,"0hard/-1923340soft"
46062,"0hard/-1922990soft"
46113,"0hard/-1922590soft"
46247,"0hard/-1922550soft"
46256,"0hard/-1922510soft"
46259,"0hard/-1922480soft"
46278,"0hard/-1922130soft"
46304,"0hard/-1921780soft"
46516,"0hard/-1921690soft"
46555,"0hard/-1921550soft"
46836,"0hard/-1921450soft"
46912,"0hard/-1920690soft"
46936,"0hard/-1920340soft"
46940,"0hard/-1920060soft"
46945,"0hard/-1919090soft"
46955,"0hard/-1918740soft"
46959,"0hard/-1918390soft"
47021,"0hard/-1918110soft"
47042,"0hard/-1917760soft"
47054,"0hard/-1917280soft"
47190,"0hard/-1917180soft"
47206,"0hard/-1917120soft"
47616,"0hard/-1916980soft"
47628,"0hard/-1916420soft"
47654,"0hard/-1916380soft"
47699,"0hard/-1916340soft"
47729,"0hard/-1915820soft"
47791,"0hard/-1915780soft"
47825,"0hard/-1915700soft"
47949,"0hard/-1915410soft"
48030,"0hard/-1915330soft"
48038,"0hard/-1915270soft"
48058,"0hard/-1914920soft"
48075,"0hard/-1914890soft"
48097,"0hard/-1914500soft"
48112,"0hard/-1914150soft"
48170,"0hard/-1914130soft"
48255,"0hard/-1913780soft"
48270,"0hard/-1913640soft"
48288,"0hard/-1913550soft"
48296,"0hard/-1912970soft"
48332,"0hard/-1912740soft"
48403,"0hard/-1912260soft"
48408,"0hard/-1912220soft"
48536,"0hard/-1911970soft"
48603,"0hard/-1911790soft"
48607,"0hard/-1911440soft"
48639,"0hard/-1911410soft"
48656,"0hard/-1910960soft"
48673,"0hard/-1910610soft"
48678,"0hard/-1910560soft"
48723,"0hard/-1910390soft"
48778,"0hard/-1910250soft"
48801,"0hard/-1910150soft"
48811,"0hard/-1910060soft"
48819,"0hard/-1909960soft"
48859,"0hard/-1909840soft"
48870,"0hard/-1909490soft"
48936,"0hard/-1909280soft"
49280,"0hard/-1909160soft"
49314,"0hard/-1908810soft"
49414,"0hard/-1908740soft"
49450,"0hard/-1908220soft"
49604,"0hard/-1908170soft"
49669,"0hard/-1908090soft"
49729,"0hard/-1907990soft"
50072,"0hard/-1907810soft"
50078,"0hard/-1907780soft"
50129,"0hard/-1907700soft"
50149,"0hard/-1907600soft"
50258,"0hard/-1907590soft"
50270,"0hard/-1907240soft"
50400,"0hard/-1906370soft"
50410,"0hard/-1906270soft"
50649,"0hard/-1905940soft"
50699,"0hard/-1905900soft"
50785,"0hard/-1905880soft"
50805,"0hard/-1905850soft"
50823,"0hard/-1905750soft"
50836,"0hard/-1905570soft"
50902,"0hard/-1905460soft"
50933,"0hard/-1905220soft"
51219,"0hard/-1904880soft"
51251,"0hard/-1904640soft"
51279,"0hard/-1904620soft"
51283,"0hard/-1903980soft"
51353,"0hard/-1903940soft"
51401,"0hard/-1903630soft"
51459,"0hard/-1903450soft"
51486,"0hard/-1903340soft"
51513,"0hard/-1903300soft"
51524,"0hard/-1903030soft"
51527,"0hard/-1902680soft"
51539,"0hard/-1902330soft"
51557,"0hard/-1902060soft"
51935,"0hard/-1901730soft"
51941,"0hard/-1901630soft"
52409,"0hard/-1901550soft"
52420,"0hard/-1901430soft"
52550,"0hard/-1901370soft"
52642,"0hard/-1901140soft"
52664,"0hard/-1900870soft"
52685,"0hard/-1900310soft"
52699,"0hard/-1899960soft"
52732,"0hard/-1899920soft"
53388,"0hard/-1899880soft"
53523,"0hard/-1899530soft"
53552,"0hard/-1899510soft"
53567,"0hard/-1899160soft"
53584,"0hard/-1898740soft"
53593,"0hard/-1898610soft"
53630,"0hard/-1898010soft"
53651,"0hard/-1898000soft"
53694,"0hard/-1897830soft"
53742,"0hard/-1897630soft"
53746,"0hard/-1897460soft"
53755,"0hard/-1896970soft"
53826,"0hard/-1896800soft"
53906,"0hard/-1896760soft"
54036,"0hard/-1896510soft"
54137,"0hard/-1896470soft"
54165,"0hard/-1896410soft"
54653,"0hard/-1896060soft"
54717,"0hard/-1896020soft"
54834,"0hard/-1895590soft"
54840,"0hard/-1895490soft"
54959,"0hard/-1894830soft"
55173,"0hard/-1894720soft"
55191,"0hard/-1894590soft"
55642,"0hard/-1894490soft"
55678,"0hard/-1894460soft"
55687,"0hard/-1893940soft"
55739,"0hard/-1893710soft"
55776,"0hard/-1893360soft"
56122,"0hard/-1893340soft"
56141,"0hard/-1892950soft"
56211,"0hard/-1892390soft"
56272,"0hard/-1892330soft"
56329,"0hard/-1892170soft"
56622,"0hard/-1892040soft"
56738,"0hard/-1891940soft"
56802,"0hard/-1891870soft"
57003,"0hard/-1891520soft"
57038,"0hard/-1891380soft"
57228,"0hard/-1891270soft"
57234,"0hard/-1890920soft"
57286,"0hard/-1890540soft"
57300,"0hard/-1890500soft"
57351,"0hard/-1890150soft"
57354,"0hard/-1890090soft"
57370,"0hard/-1889740soft"
58461,"0hard/-1889570soft"
58553,"0hard/-1889530soft"
58615,"0hard/-1889470soft"
58628,"0hard/-1889120soft"
58675,"0hard/-1889080soft"
58679,"0hard/-1888500soft"
58761,"0hard/-1888160soft"
58809,"0hard/-1887810soft"
58842,"0hard/-1887730soft"
58948,"0hard/-1887710soft"
59047,"0hard/-1887330soft"
59144,"0hard/-1887300soft"
59538,"0hard/-1887260soft"
59756,"0hard/-1887060soft"
59824,"0hard/-1886920soft"
59892,"0hard/-1886880soft"
59944,"0hard/-1886780soft"
60258,"0hard/-1886510soft"
60270,"0hard/-1886160soft"
60292,"0hard/-1886020soft"
60312,"0hard/-1885630soft"
60438,"0hard/-1885590soft"
60508,"0hard/-1885550soft"
60513,"0hard/-1885160soft"
61052,"0hard/-1885010soft"
61126,"0hard/-1884490soft"
61207,"0hard/-1884430soft"
61217,"0hard/-1883890soft"
61226,"0hard/-1883350soft"
61239,"0hard/-1883280soft"
61324,"0hard/-1882830soft"
61411,"0hard/-1882790soft"
61767,"0hard/-1882560soft"
61775,"0hard/-1882210soft"
61822,"0hard/-1881670soft"
61858,"0hard/-1881640soft"
61875,"0hard/-1881620soft"
62090,"0hard/-1881500soft"
62152,"0hard/-1881300soft"
62192,"0hard/-1880850soft"
62204,"0hard/-1880740soft"
62240,"0hard/-1880350soft"
62256,"0hard/-1880310soft"
62336,"0hard/-1879950soft"
62539,"0hard/-1879810soft"
62607,"0hard/-1879800soft"
62987,"0hard/-1879620soft"
63007,"0hard/-1879580soft"
63073,"0hard/-1879500soft"
63127,"0hard/-1879260soft"
63314,"0hard/-1879170soft"
63744,"0hard/-1878930soft"
63771,"0hard/-1878900soft"
63789,"0hard/-1878730soft"
63834,"0hard/-1878700soft"
63838,"0hard/-1878470soft"
63882,"0hard/-1878350soft"
63926,"0hard/-1878000soft"
63978,"0hard/-1877930soft"
64026,"0hard/-1877890soft"
64422,"0hard/-1877710soft"
64513,"0hard/-1877530soft"
64575,"0hard/-1877410soft"
64593,"0hard/-1877300soft"
64798,"0hard/-1877130soft"
64815,"0hard/-1877090soft"
64833,"0hard/-1877010soft"
64996,"0hard/-1876500soft"
65029,"0hard/-1876460soft"
65037,"0hard/-1876420soft"
65560,"0hard/-1876170soft"
65695,"0hard/-1875910soft"
65721,"0hard/-1875810soft"
65729,"0hard/-1875250soft"
65733,"0hard/-1875140soft"
65759,"0hard/-1874790soft"
66140,"0hard/-1874230soft"
66302,"0hard/-1874060soft"
66392,"0hard/-1873890soft"
66426,"0hard/-1873500soft"
66591,"0hard/-1873460soft"
66634,"0hard/-1873010soft"
66680,"0hard/-1872970soft"
67076,"0hard/-1872940soft"
67147,"0hard/-1872590soft"
67167,"0hard/-1872400soft"
67371,"0hard/-1872350soft"
67771,"0hard/-1872300soft"
67870,"0hard/-1872000soft"
67923,"0hard/-1871970soft"
67977,"0hard/-1871940soft"
67980,"0hard/-1871590soft"
67990,"0hard/-1871580soft"
68209,"0hard/-1871560soft"
68219,"0hard/-1871080soft"
68678,"0hard/-1870960soft"
68843,"0hard/-1870860soft"
68881,"0hard/-1870490soft"
69045,"0hard/-1870140soft"
69071,"0hard/-1869970soft"
69541,"0hard/-1869620soft"
69547,"0hard/-1869580soft"
69552,"0hard/-1868980soft"
